date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:35:39	111/111	---M-Z	200	added ('OK')	text/plain	date:Tue,%2006%20Dec%202022%2014:35:39%20GMT	https://plcdelnorte.com/robots.txt		(from )
08:35:40	478189/478189	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Dec%202022%2014:35:39%20GMT	https://plcdelnorte.com/	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/index.html	(from )
08:35:41	45770/45770	---M-Z	200	added ('OK')	text/css	etag:%222522868-b2ca-5e05377674e8e-gzip%22	https://plcdelnorte.com/wp-content/themes/astra/assets/css/minified/frontend.min.css?ver=3.8.1	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/themes/astra/assets/css/minified/frontend.min7e2e.css	(from https://plcdelnorte.com/)
08:35:41	3304/3304	---M--	200	added ('OK')	font/woff	etag:%222522939-ce8-5e053776aa60a%22	https://plcdelnorte.com/wp-content/themes/astra/assets/fonts/astra.woff	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/themes/astra/assets/fonts/astra.woff	(from https://plcdelnorte.com/)
08:35:41	1875/1875	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b417304e2d935c2876f4e306104e12fe-gzip%22	https://plcdelnorte.com/feed/	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/feed/index.html	(from https://plcdelnorte.com/)
08:35:41	83419/83419	---M-Z	200	added ('OK')	text/css	etag:%222e03649-145db-5db6ddf21b640-gzip%22	https://plcdelnorte.com/wp-includes/css/dist/block-library/style.min.css?ver=5.9.5	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-includes/css/dist/block-library/style.mind9cd.css	(from https://plcdelnorte.com/)
08:35:41	1662/1662	---M-Z	200	added ('OK')	application/rss+xml	etag:%229e034d0bfa0ce1a58217ecd581f058ac-gzip%22	https://plcdelnorte.com/comments/feed/	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/comments/feed/index.html	(from https://plcdelnorte.com/)
08:35:42	4933/4933	---M-Z	200	added ('OK')	text/css	etag:%22472111b-1345-5e05370f249f6-gzip%22	https://plcdelnorte.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=7.4.3	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style9e2d.css	(from https://plcdelnorte.com/)
08:35:42	209250/209250	---M-Z	200	added ('OK')	text/css	etag:%2247210bc-33162-5e05370f2366e-gzip%22	https://plcdelnorte.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=7.4.3	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style9e2d.css	(from https://plcdelnorte.com/)
08:35:42	22511/22511	---M-Z	200	added ('OK')	text/css	etag:%224722e7a-57ef-5e0537121d9fd-gzip%22	https://plcdelnorte.com/wp-content/plugins/wpforms-lite/assets/css/wpforms-base.min.css?ver=1.7.4.2	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/plugins/wpforms-lite/assets/css/wpforms-base.mine945.css	(from https://plcdelnorte.com/)
08:35:42	17307/17307	---M-Z	200	added ('OK')	text/css	etag:%2225228d1-439b-5e053776a7efa-gzip%22	https://plcdelnorte.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout.min.css?ver=3.8.1	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout.min7e2e.css	(from https://plcdelnorte.com/)
08:35:42	5985/5985	---M-Z	200	added ('OK')	text/css	etag:%2225228d9-1761-5e053776a7efa-gzip%22	https://plcdelnorte.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen.min.css?ver=3.8.1	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen.min7e2e.css	(from https://plcdelnorte.com/)
08:35:43	104928/104928	---M-Z	200	added ('OK')	text/css	etag:%2225228d6-199e0-5e053776a7efa-gzip%22	https://plcdelnorte.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=3.8.1	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min7e2e.css	(from https://plcdelnorte.com/)
08:35:43	47514/47514	---M-Z	200	added ('OK')	text/css	etag:%222940c84-b99a-5db9c408d75aa-gzip%22	https://plcdelnorte.com/wp-content/plugins/iks-menu/assets/css/public.css?ver=1.9.5	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/plugins/iks-menu/assets/css/publicbb23.css	(from https://plcdelnorte.com/)
08:35:43	767/767	---M-Z	200	added ('OK')	text/css	etag:%222d81060-2ff-5e05370403eeb-gzip%22	https://plcdelnorte.com/wp-content/plugins/woocommerce-mercadopago/assets/css/global.min.css?ver=5.7.6	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/plugins/woocommerce-mercadopago/assets/css/global.mincfaa.css	(from https://plcdelnorte.com/)
08:35:43	73349/73349	---M-Z	200	added ('OK')	text/css	etag:%222840006-11e85-5e05396415aae-gzip%22	https://plcdelnorte.com/wp-content/uploads/astra-addon/astra-addon-6296692b4f82a4-54711098.css?ver=3.6.8	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/uploads/astra-addon/astra-addon-6296692b4f82a4-54711098a4f3.css	(from https://plcdelnorte.com/)
08:35:44	19128/19128	---M-Z	200	added ('OK')	text/css	etag:%2233c017d-4ab8-5e0536ff0e9ea-gzip%22	https://plcdelnorte.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.15.0	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7816.css	(from https://plcdelnorte.com/)
08:35:44	163326/163326	---M-Z	200	added ('OK')	text/css	etag:%22342240d-27dfe-5e0536ff8390c-gzip%22	https://plcdelnorte.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.6.5	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/plugins/elementor/assets/css/frontend.min3ab2.css	(from https://plcdelnorte.com/)
08:35:44	1249/1249	---M-Z	200	added ('OK')	text/css	etag:%222840008-4e1-5e0540bd733f4-gzip%22	https://plcdelnorte.com/wp-content/uploads/elementor/css/post-1390.css?ver=1654026464	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/uploads/elementor/css/post-13906f8f.css	(from https://plcdelnorte.com/)
08:35:45	627202/627202	---MCZ	200	added ('OK')	text/css	etag:%2233a25fd-99202-5e05371abc363-gzip%22	https://plcdelnorte.com/wp-content/plugins/ultimate-elementor/assets/min-css/uael-frontend.min.css?ver=1.36.6	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/plugins/ultimate-elementor/assets/min-css/uael-frontend.mina0cc.css	(from https://plcdelnorte.com/)
08:35:45	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%2233a254a-e7d0-5e0536fefe049-gzip%22	https://plcdelnorte.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.6.5	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min3ab2.css	(from https://plcdelnorte.com/)
08:35:45	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%2233a2546-684e-5e0536fefe049-gzip%22	https://plcdelnorte.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.6.5	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min3ab2.css	(from https://plcdelnorte.com/)
08:35:45	33862/33862	---M-Z	200	added ('OK')	text/css	etag:%22284000b-8446-5e0540bdcb623-gzip%22	https://plcdelnorte.com/wp-content/uploads/elementor/css/post-10.css?ver=1654026464	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/uploads/elementor/css/post-106f8f.css	(from https://plcdelnorte.com/)
08:35:45	934/934	---M-Z	200	added ('OK')	text/css	etag:%2241a21fb-3a6-5c5d7301173cd-gzip%22	https://plcdelnorte.com/wp-content/themes/astra-child/style.css?ver=1.0.0	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/themes/astra-child/style8a54.css	(from https://plcdelnorte.com/)
08:35:46	57912/57912	---M-Z	200	added ('OK')	text/css	etag:%2233a2553-e238-5e0536fefe431-gzip%22	https://plcdelnorte.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://plcdelnorte.com/)
08:35:46	669/669	---M-Z	200	added ('OK')	text/css	etag:%2233a2554-29d-5e0536fefe431-gzip%22	https://plcdelnorte.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://plcdelnorte.com/)
08:35:46	89521/89521	---M-Z	200	added ('OK')	application/javascript	etag:%22320446f-15db1-5bd3006388300-gzip%22	https://plcdelnorte.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://plcdelnorte.com/)
08:35:47	11224/11224	---M-Z	200	added ('OK')	application/javascript	etag:%22320445a-2bd8-5b45debe27b80-gzip%22	https://plcdelnorte.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://plcdelnorte.com/)
08:35:47	936/936	---M-Z	200	added ('OK')	application/javascript	etag:%222940cba-3a8-5db9c408d7992-gzip%22	https://plcdelnorte.com/wp-content/plugins/iks-menu/assets/js/public.js?ver=1.9.5	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/plugins/iks-menu/assets/js/publicbb23.js	(from https://plcdelnorte.com/)
08:35:47	10449/10449	---M-Z	200	added ('OK')	application/javascript	etag:%222940cb8-28d1-5db9c408d7992-gzip%22	https://plcdelnorte.com/wp-content/plugins/iks-menu/assets/js/menu.js?ver=1.9.5	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/plugins/iks-menu/assets/js/menubb23.js	(from https://plcdelnorte.com/)
08:35:48	15055/15055	---M-Z	200	added ('OK')	application/javascript	etag:%2233a255f-3acf-5e0536fefec01-gzip%22	https://plcdelnorte.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.6.5	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min3ab2.js	(from https://plcdelnorte.com/)
08:35:50	804/804	---M-Z	200	added ('OK')	text/xml	date:Tue,%2006%20Dec%202022%2014:35:51%20GMT	https://plcdelnorte.com/xmlrpc.php?rsd	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/xmlrpc0db0.php	(from https://plcdelnorte.com/)
08:35:51	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%222e03acb-415-4ed4785da9bc0-gzip%22	https://plcdelnorte.com/wp-includes/wlwmanifest.xml	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-includes/wlwmanifest.xml	(from https://plcdelnorte.com/)
08:35:51	287784/287784	---MC-	200	added ('OK')	application/json	date:Tue,%2006%20Dec%202022%2014:35:49%20GMT	https://plcdelnorte.com/wp-json/wp/v2/pages/10	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-json/wp/v2/pages/10.json	(from https://plcdelnorte.com/)
08:35:52	2279/2279	---MC-	200	added ('OK')	application/json	date:Tue,%2006%20Dec%202022%2014:35:52%20GMT	https://plcdelnorte.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fplcdelnorte.com%2F	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-json/oembed/1.0/embedcb0e.json	(from https://plcdelnorte.com/)
08:35:52	2354/2354	---M-Z	200	added ('OK')	text/xml	date:Tue,%2006%20Dec%202022%2014:35:53%20GMT	https://plcdelnorte.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fplcdelnorte.com%2F&format=xml	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-json/oembed/1.0/embedbe80	(from https://plcdelnorte.com/)
08:35:53	1315/1315	---M--	200	added ('OK')	image/png	etag:%22284169a-523-5c5fffbc74d12%22	https://plcdelnorte.com/wp-content/uploads/2021/06/cropped-favicon-32x32.png	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/uploads/2021/06/cropped-favicon-32x32.png	(from https://plcdelnorte.com/)
08:35:53	20458/20458	---M--	200	added ('OK')	image/png	etag:%222841698-4fea-5c5fffbc6a901%22	https://plcdelnorte.com/wp-content/uploads/2021/06/cropped-favicon-192x192.png	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/uploads/2021/06/cropped-favicon-192x192.png	(from https://plcdelnorte.com/)
08:35:53	18599/18599	---M--	200	added ('OK')	image/png	etag:%222841699-48a7-5c5fffbc72602%22	https://plcdelnorte.com/wp-content/uploads/2021/06/cropped-favicon-180x180.png	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/uploads/2021/06/cropped-favicon-180x180.png	(from https://plcdelnorte.com/)
08:35:53	77344/77344	---M--	200	added ('OK')	image/png	etag:%22284168b-12e20-5c5fff380c29c%22	https://plcdelnorte.com/wp-content/uploads/2021/06/cropped-logo-plc.png	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/uploads/2021/06/cropped-logo-plc.png	(from https://plcdelnorte.com/)
08:35:53	1135294/1135294	---MC-	200	added ('OK')	application/json	date:Tue,%2006%20Dec%202022%2014:35:49%20GMT	https://plcdelnorte.com/wp-json/	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-json/index.html	(from https://plcdelnorte.com/)
08:35:54	3671/3671	---M--	200	added ('OK')	image/png	etag:%2228a0066-e57-5c794e5ef9873%22	https://plcdelnorte.com/wp-content/uploads/elementor/thumbs/ALLEN-BRADLEY-paevlxwzb36u71ei43oun5wp5igkqud67bnw74l6m6.png	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/uploads/elementor/thumbs/ALLEN-BRADLEY-paevlxwzb36u71ei43oun5wp5igkqud67bnw74l6m6.png	(from https://plcdelnorte.com/)
08:35:54	2601/2601	---M--	200	added ('OK')	image/png	etag:%2228a0067-a29-5c794e5efa813%22	https://plcdelnorte.com/wp-content/uploads/elementor/thumbs/BANNER-paevlyuthx84ind4ym3h7no5qwbxyjgwjgbdoejsfy.png	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/wp-content/uploads/elementor/thumbs/BANNER-paevlyuthx84ind4ym3h7no5qwbxyjgwjgbdoejsfy.png	(from https://plcdelnorte.com/)
08:35:55	258496/258496	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Dec%202022%2014:35:55%20GMT	https://plcdelnorte.com/carrito/	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/carrito/index.html	(from https://plcdelnorte.com/)
08:35:55	618634/618634	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Dec%202022%2014:35:55%20GMT	https://plcdelnorte.com/tienda/	C:/Users/Hp/Desktop/Demo/plc/plcdelnorte.com/tienda/index.html	(from https://plcdelnorte.com/)
